,SIZE,SEXA,SSJB1WK,SPAGEX,SPLVTG,PPLVTG,MMLVTG,CCNUMTTL,CC01SEX,CC01AGE,SZFFOTHR,SZFFONLY,SZFFTTL,FFHEAD,SZFFOUT,INCSELF,INCSP,INCPEN,INCUEB,INCIRR,INCRENT,SZINCOMA,XNUMSISE,XNUMBROY,XSSNBROY,XSSNSISY,TP5LOC15,PPJBXX15,PPJBSZ15,MMJBTP15,XXLSTSCH,SSLSTSCH,PPLSTSCH,DOLSTSCH,XSPSCH
146,1,1,0,0,0,3,3,2,2,21,0,0,1,1,0,0,1,1,1,1,1,4,3,0,0,0,2,0,0,1,2,0,0,1,2
147,4,1,0,0,0,1,1,0,0,0,2,4,5,4,0,0,1,0,1,1,1,3,1,1,0,0,3,2,1,4,2,0,1,1,2
148,1,2,1,53,1,3,2,3,1,23,0,1,2,2,0,1,1,1,1,1,1,1,2,0,1,0,2,2,6,2,3,3,1,1,2
149,3,2,1,43,1,2,2,2,2,20,0,3,4,2,0,0,1,1,1,1,1,2,0,1,1,1,3,2,2,4,2,2,0,1,2
150,1,2,1,47,1,3,2,2,2,18,0,3,4,2,0,1,1,1,1,1,1,1,1,1,1,0,3,2,1,4,2,3,0,1,2
151,3,2,1,49,1,2,2,2,2,24,1,2,3,2,0,0,1,1,1,1,1,2,1,0,0,0,2,2,2,1,2,3,2,1,2
152,4,1,0,0,0,3,1,1,2,11,0,1,2,1,0,0,1,1,1,1,1,3,1,0,0,0,3,2,1,2,2,0,0,1,2
153,1,2,1,48,1,3,3,1,1,6,0,2,3,2,0,0,1,1,1,1,1,5,0,0,0,2,3,2,6,1,3,3,3,1,2
154,1,2,0,0,0,2,2,2,2,14,0,2,3,1,0,0,1,1,1,1,1,5,1,0,0,0,2,2,3,3,3,0,2,1,1
155,2,1,3,46,1,2,2,0,0,0,0,1,2,1,0,0,1,1,1,1,1,4,1,0,1,0,3,2,5,3,3,3,2,1,2
156,3,2,1,53,1,3,2,0,0,0,0,1,2,2,0,0,1,1,1,1,1,3,0,1,0,0,2,2,6,2,2,2,2,1,1
157,4,2,3,49,1,3,2,3,2,21,0,4,5,2,0,0,1,1,0,1,1,0,0,1,1,0,2,2,2,4,2,3,2,1,2
158,1,2,1,51,1,3,2,1,2,19,0,2,3,2,0,0,1,1,1,1,1,0,0,0,1,0,2,2,0,2,3,3,0,1,2
159,3,2,1,49,2,1,3,2,2,19,0,3,4,1,1,1,1,1,1,1,1,0,0,0,0,0,4,2,3,2,2,2,2,1,1
160,3,2,0,0,0,1,1,3,2,22,0,3,4,4,0,0,1,0,1,1,1,3,0,0,0,0,2,2,3,2,2,0,2,1,2
161,4,2,1,44,1,2,3,3,2,14,0,4,5,2,0,0,1,1,1,1,1,2,1,0,0,0,3,2,3,2,2,2,2,1,2
162,3,2,0,0,0,3,2,3,1,19,0,3,4,1,0,0,1,0,1,1,1,2,1,0,0,0,3,2,1,4,2,2,1,1,2
163,3,1,3,33,1,2,3,1,1,0,0,2,3,1,0,0,1,1,1,1,1,5,0,0,0,0,1,2,2,1,3,3,2,1,2
164,1,2,1,44,1,2,2,2,2,18,2,5,6,2,0,0,1,1,1,1,1,3,3,1,0,0,2,2,0,1,3,3,2,1,1
165,4,2,0,0,0,3,3,0,0,0,0,0,1,1,0,0,1,1,1,1,1,3,2,0,0,0,3,2,3,1,2,0,2,1,2
166,1,2,1,42,1,2,2,1,2,22,0,1,2,2,0,0,1,1,1,1,1,2,0,0,0,0,2,2,4,2,2,2,1,1,2
167,1,1,1,42,1,2,2,2,1,12,0,3,4,1,0,0,1,1,1,1,1,4,0,1,1,1,3,2,1,4,3,3,2,1,1
168,3,2,1,45,1,2,3,0,0,0,0,1,2,2,0,0,1,1,1,1,1,2,0,0,0,0,3,2,2,4,2,2,2,1,2
169,4,1,1,40,1,2,2,2,1,15,0,3,4,1,0,0,1,1,1,1,1,4,0,1,0,0,2,2,2,2,2,2,2,1,2
170,3,2,1,45,1,3,2,2,1,10,0,3,4,2,0,1,1,1,1,1,1,1,0,1,1,0,2,2,3,3,3,3,2,1,2
171,1,2,1,39,1,3,2,2,2,7,0,3,4,2,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,2,3,3,2,1,1
172,4,2,1,45,1,2,2,2,1,13,0,3,4,2,0,0,1,1,1,1,1,5,0,1,0,0,3,2,2,4,3,2,2,1,1
173,1,1,3,40,1,2,2,3,2,16,0,4,5,1,0,0,1,1,1,1,1,4,0,0,2,0,2,2,0,1,2,3,2,1,2
174,1,2,0,0,0,3,3,3,1,17,0,3,4,1,0,0,1,1,1,1,1,3,0,1,0,0,2,0,0,1,2,0,1,1,2
175,2,2,0,0,0,1,1,1,2,12,0,3,4,4,0,0,1,1,1,1,1,4,0,0,0,0,2,2,6,3,2,0,2,1,2
