,MARC
2577,4
2578,4
2579,3
2580,1
2581,1
2582,1
2583,3
2584,1
2585,3
2586,1
2587,2
2588,1
2589,1
2590,1
2591,3
2592,1
2593,2
2594,1
2595,4
2596,1
2597,1
2598,4
2599,1
2600,4
2601,1
2602,1
2603,4
2604,1
2605,4
2606,4
2607,4
2608,4
2609,3
2610,3
2611,1
2612,1
2613,3
2614,1
2615,3
2616,1
2617,1
2618,3
2619,1
2620,1
2621,2
2622,3
2623,3
2624,2
2625,1
2626,1
2627,1
2628,1
2629,1
2630,1
2631,1
2632,1
2633,2
2634,4
2635,1
2636,4
2637,2
2638,1
2639,4
2640,4
2641,1
2642,1
2643,4
2644,4
2645,4
2646,4
2647,4
2648,3
2649,1
2650,1
2651,3
2652,4
2653,1
2654,3
2655,3
2656,1
2657,3
2658,3
2659,3
2660,1
2661,1
2662,1
2663,3
2664,2
2665,1
2666,2
2667,1
2668,2
2669,1
2670,1
2671,1
2672,1
2673,1
2674,2
2675,1
2676,2
2677,1
2678,1
2679,2
2680,4
2681,1
2682,3
2683,3
2684,3
2685,3
2686,3
2687,1
2688,1
2689,4
2690,1
2691,1
2692,1
2693,1
2694,1
2695,1
2696,3
2697,2
2698,1
2699,4
2700,1
2701,1
2702,4
2703,1
2704,4
2705,1
2706,1
2707,4
2708,4
2709,4
2710,4
2711,4
2712,3
2713,3
2714,3
2715,1
2716,1
2717,1
2718,1
2719,2
2720,1
2721,1
2722,2
2723,3
2724,4
2725,1
2726,4
2727,1
2728,1
2729,1
2730,1
2731,1
2732,1
2733,4
2734,4
2735,1
2736,4
2737,1
2738,4
2739,4
2740,1
2741,1
2742,1
2743,1
2744,4
2745,1
2746,4
2747,4
2748,4
2749,4
2750,4
2751,1
2752,1
2753,3
2754,1
2755,1
2756,1
2757,1
2758,1
2759,1
2760,3
2761,1
2762,2
2763,1
2764,2
2765,1
2766,5
2767,2
2768,1
2769,4
2770,1
2771,4
2772,4
2773,1
2774,1
2775,4
2776,4
